custID,region,country,item,sold,price
154,Asia,Singapore,Cosmetics,2978,437.2
155,Sub-Saharan Africa,Sudan,Baby Food,4529,255.28
156,Europe,Macedonia,Cereal,6927,205.7
157,North America,Canada,Office Supplies,7831,651.21
158,Europe,Malta,Cereal,1934,205.7
159,Middle East and North Africa,Iraq,Snacks,5959,152.58
160,Europe,Austria,Personal Care,3662,81.73
161,Asia,Thailand,Cereal,829,205.7
162,Europe,Netherlands,Beverages,277,47.45
163,Sub-Saharan Africa,Zimbabwe,Clothes,6854,109.28
164,Central America and the Caribbean,Belize,Cereal,2441,205.7
165,Europe,Georgia,Vegetables,949,154.06
166,Central America and the Caribbean,Dominica,Beverages,3319,47.45
167,Europe,Slovakia,Beverages,2527,47.45
168,Sub-Saharan Africa,Benin,Snacks,8576,152.58
169,Central America and the Caribbean,Jamaica,Meat,3503,421.89
170,Middle East and North Africa,Syria,Cosmetics,6374,437.2
171,Europe,Bulgaria,Personal Care,8290,81.73
172,Australia and Oceania,Tonga,Beverages,7379,47.45
173,Europe,Finland,Clothes,3803,109.28
174,Sub-Saharan Africa,Namibia,Beverages,4754,47.45
175,Sub-Saharan Africa,Kenya,Baby Food,9456,255.28
176,Australia and Oceania,Kiribati,Household,4163,668.27
177,Australia and Oceania,Australia,Fruits,7163,9.33
178,Sub-Saharan Africa,Eritrea,Office Supplies,3771,651.21
179,Europe,Bulgaria,Fruits,1337,9.33
180,Australia and Oceania,Australia,Fruits,4241,9.33
181,Sub-Saharan Africa,The Gambia,Office Supplies,8894,651.21
182,Europe,Latvia,Beverages,8738,47.45
183,Europe,Bulgaria,Clothes,9246,109.28
184,Europe,France,Beverages,2925,47.45
185,Middle East and North Africa,United Arab Emirates,Fruits,4309,9.33
186,Middle East and North Africa,Kuwait,Personal Care,4966,81.73
187,Middle East and North Africa,Iran,Personal Care,8496,81.73
188,Central America and the Caribbean,Jamaica,Beverages,5527,47.45
189,Sub-Saharan Africa,Rwanda,Cereal,8721,205.7
190,North America,United States of America,Household,7770,668.27
191,Europe,Cyprus,Beverages,4398,47.45
192,Middle East and North Africa,Afghanistan,Vegetables,7360,154.06
193,Sub-Saharan Africa,Uganda,Cereal,7442,205.7
194,Sub-Saharan Africa,Senegal,Vegetables,2461,154.06
195,Middle East and North Africa,Afghanistan,Cosmetics,2266,437.2
196,Europe,Estonia,Personal Care,3736,81.73
197,Sub-Saharan Africa,Senegal,Meat,5784,421.89
198,Europe,Vatican City,Beverages,4351,47.45
199,Asia,Laos,Vegetables,7411,154.06
200,Central America and the Caribbean,Dominican Republic,Clothes,9969,109.28
201,Asia,Nepal,Personal Care,9061,81.73
202,Australia and Oceania,Palau,Meat,8754,421.89
203,Europe,Serbia,Snacks,5147,152.58
204,Europe,Cyprus,Cereal,1370,205.7
205,Asia,Indonesia,Meat,2584,421.89
206,Central America and the Caribbean,Dominica,Vegetables,981,154.06
207,Sub-Saharan Africa,Malawi,Clothes,785,109.28
208,Australia and Oceania,East Timor,Snacks,3252,152.58
209,Asia,Mongolia,Office Supplies,1666,651.21
210,Sub-Saharan Africa,Kenya,Clothes,6346,109.28
211,Europe,Moldova ,Vegetables,9639,154.06
212,Sub-Saharan Africa,Mozambique,Cereal,927,205.7
213,Central America and the Caribbean,Saint Kitts and Nevis ,Household,1620,668.27
214,Australia and Oceania,Papua New Guinea,Snacks,160,152.58
215,Sub-Saharan Africa,Guinea,Snacks,7021,152.58
216,Europe,Lithuania,Fruits,9708,9.33
217,Asia,Tajikistan,Meat,7758,421.89
218,Central America and the Caribbean,Antigua and Barbuda ,Snacks,7736,152.58
219,Middle East and North Africa,Saudi Arabia,Office Supplies,8243,651.21
220,Asia,Myanmar,Meat,4908,421.89
221,Australia and Oceania,Australia,Baby Food,5392,255.28
222,Australia and Oceania,Kiribati,Baby Food,4387,255.28
223,Middle East and North Africa,Pakistan,Vegetables,8618,154.06
224,Europe,Albania,Beverages,1839,47.45
225,Europe,Norway,Office Supplies,9836,651.21
226,Europe,Vatican City,Meat,5426,421.89
227,Middle East and North Africa,Algeria,Snacks,3458,152.58
228,Europe,Hungary,Snacks,5813,152.58
229,Asia,Tajikistan,Baby Food,6401,255.28
230,Sub-Saharan Africa,Djibouti,Household,6164,668.27
231,Europe,Macedonia,Cereal,8076,205.7
232,Sub-Saharan Africa,Lesotho,Meat,2143,421.89
233,Europe,Denmark,Beverages,400,47.45
234,Australia and Oceania,Nauru,Personal Care,1914,81.73
235,Europe,Moldova ,Vegetables,7785,154.06
236,Australia and Oceania,Australia,Cereal,6142,205.7
237,Europe,Slovenia,Meat,7146,421.89
238,Central America and the Caribbean,Guatemala,Personal Care,7989,81.73
239,Central America and the Caribbean,Dominican Republic,Clothes,7896,109.28
240,Middle East and North Africa,Israel,Clothes,3121,109.28
241,Asia,Brunei,Beverages,1950,47.45
242,Asia,Myanmar,Snacks,9701,152.58
243,Europe,Croatia,Household,3723,668.27
244,Australia and Oceania,Tonga,Clothes,8394,109.28
245,Europe,Belarus,Vegetables,127,154.06
246,Sub-Saharan Africa,Mali,Meat,2363,421.89
247,Asia,Bangladesh,Cosmetics,577,437.2
248,Sub-Saharan Africa,Djibouti,Office Supplies,7273,651.21
249,Sub-Saharan Africa,Eritrea,Baby Food,6987,255.28
250,Middle East and North Africa,Iran,Snacks,1287,152.58
251,Asia,Kyrgyzstan,Meat,3772,421.89
252,Sub-Saharan Africa,Mauritius ,Snacks,5071,152.58
253,Sub-Saharan Africa,Ghana,Cosmetics,7845,437.2
254,Central America and the Caribbean,Dominican Republic,Cosmetics,1786,437.2
255,Sub-Saharan Africa,Togo,Baby Food,8619,255.28
256,Sub-Saharan Africa,Angola,Fruits,7099,9.33
257,Sub-Saharan Africa,Ghana,Baby Food,8011,255.28
258,Europe,Romania,Meat,9172,421.89
259,Sub-Saharan Africa,Zimbabwe,Clothes,432,109.28
260,Sub-Saharan Africa,Benin,Beverages,8671,47.45
261,Middle East and North Africa,Algeria,Clothes,2798,109.28
262,Middle East and North Africa,Lebanon,Fruits,8758,9.33
263,Europe,Vatican City,Cereal,4523,205.7
264,Middle East and North Africa,Somalia,Baby Food,5098,255.28
265,Europe,Estonia,Household,7520,668.27
266,Middle East and North Africa,Libya,Personal Care,5856,81.73
267,Asia,Uzbekistan,Cereal,6204,205.7
268,Sub-Saharan Africa,Lesotho,Snacks,1695,152.58
269,Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,7489,152.58
270,Sub-Saharan Africa,Tanzania,Personal Care,5779,81.73
271,Asia,Vietnam,Cereal,788,205.7
272,Sub-Saharan Africa,Comoros,Meat,3772,421.89
273,Sub-Saharan Africa,Comoros,Household,8016,668.27
274,Central America and the Caribbean,Trinidad and Tobago,Household,3839,668.27
275,Australia and Oceania,Palau,Fruits,3587,9.33
276,Europe,Macedonia,Fruits,6643,9.33
277,Sub-Saharan Africa,Comoros,Fruits,4415,9.33
278,Sub-Saharan Africa,Zambia,Baby Food,5348,255.28
279,Australia and Oceania,Vanuatu,Snacks,9914,152.58
280,Europe,Cyprus,Vegetables,5619,154.06
281,Asia,Thailand,Snacks,1999,152.58
282,Asia,Kyrgyzstan,Household,5620,668.27
283,Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,5082,255.28
284,Sub-Saharan Africa,Mauritius ,Baby Food,6014,255.28
285,Europe,Hungary,Household,6078,668.27
286,Europe,Switzerland,Cereal,9966,205.7
287,Europe,Denmark,Baby Food,4402,255.28
288,Europe,Cyprus,Office Supplies,3140,651.21
289,Sub-Saharan Africa,Rwanda,Beverages,1967,47.45
290,Sub-Saharan Africa,Benin,Vegetables,3700,154.06
291,Europe,Norway,Cereal,3188,205.7
292,Middle East and North Africa,Saudi Arabia,Clothes,2310,109.28
293,Australia and Oceania,Nauru,Snacks,4978,152.58
294,Australia and Oceania,Kiribati,Household,2133,668.27
295,Europe,Lithuania,Office Supplies,6751,651.21
296,Australia and Oceania,Palau,Vegetables,8835,154.06
297,Asia,Sri Lanka,Personal Care,422,81.73
298,Sub-Saharan Africa,Djibouti,Fruits,579,9.33
299,Central America and the Caribbean,Guatemala,Cosmetics,405,437.2
300,Sub-Saharan Africa,Zimbabwe,Office Supplies,8029,651.21
301,Sub-Saharan Africa,Comoros,Meat,3613,421.89
302,Europe,Netherlands,Office Supplies,4349,651.21
303,Europe,Portugal,Clothes,9461,109.28
304,Europe,Spain,Baby Food,5204,255.28
305,Middle East and North Africa,Egypt,Clothes,9863,109.28
306,Europe,Slovenia,Vegetables,8757,154.06
307,Europe,Ireland,Cosmetics,9233,437.2
308,Asia,Taiwan,Meat,5672,421.89
309,Sub-Saharan Africa,Swaziland,Meat,4485,421.89
310,Europe,Armenia,Fruits,9114,9.33
311,Sub-Saharan Africa,The Gambia,Clothes,5033,109.28
312,Middle East and North Africa,Iran,Cereal,4747,205.7
313,Europe,Andorra,Baby Food,2791,255.28
314,Middle East and North Africa,Morocco,Vegetables,734,154.06
315,Asia,Bhutan,Clothes,2173,109.28
316,Asia,Mongolia,Beverages,7739,47.45
317,Sub-Saharan Africa,Eritrea,Office Supplies,93,651.21
318,Sub-Saharan Africa,Central African Republic,Clothes,8928,109.28
319,North America,Greenland,Fruits,5966,9.33
320,Middle East and North Africa,Somalia,Vegetables,9963,154.06
321,Sub-Saharan Africa,Cameroon,Cereal,1705,205.7
322,Asia,Uzbekistan,Beverages,9009,47.45
323,Sub-Saharan Africa,Ethiopia,Personal Care,1724,81.73
324,Asia,Kyrgyzstan,Office Supplies,6730,651.21
325,Europe,United Kingdom,Cosmetics,2938,437.2
326,Australia and Oceania,Marshall Islands,Snacks,6290,152.58
327,Asia,North Korea,Baby Food,4760,255.28
328,Australia and Oceania,Nauru,Meat,3353,421.89
329,Central America and the Caribbean,Saint Lucia,Beverages,9105,47.45
330,Europe,Ukraine,Snacks,6083,152.58
331,Sub-Saharan Africa,Sao Tome and Principe,Personal Care,387,81.73
332,Europe,Bulgaria,Clothes,5145,109.28
333,Europe,Romania,Office Supplies,5519,651.21
334,Middle East and North Africa,Yemen,Cereal,3701,205.7
335,North America,United States of America,Household,3916,668.27
336,Central America and the Caribbean,Antigua and Barbuda ,Vegetables,7417,154.06
337,Europe,Latvia,Cereal,7492,205.7
338,Central America and the Caribbean,El Salvador,Snacks,4457,152.58
339,Central America and the Caribbean,The Bahamas,Office Supplies,660,651.21
340,Asia,Maldives,Personal Care,5483,81.73
341,Sub-Saharan Africa,Nigeria,Baby Food,336,255.28
342,Sub-Saharan Africa,Zimbabwe,Vegetables,3661,154.06
343,Europe,Armenia,Baby Food,5933,255.28
344,Europe,Belarus,Personal Care,4655,81.73
345,Middle East and North Africa,Kuwait,Office Supplies,9365,651.21
346,Central America and the Caribbean,Panama,Clothes,6628,109.28
347,Asia,Turkmenistan,Clothes,5046,109.28
348,Central America and the Caribbean,Guatemala,Clothes,246,109.28
349,Sub-Saharan Africa,Sudan,Meat,9890,421.89
350,Middle East and North Africa,Afghanistan,Vegetables,8670,154.06
351,Europe,Sweden,Snacks,3311,152.58
352,Europe,Moldova ,Cereal,7567,205.7
353,Europe,Belgium,Personal Care,7224,81.73
354,Sub-Saharan Africa,South Africa,Fruits,5099,9.33
355,Sub-Saharan Africa,Mauritania,Meat,6042,421.89
356,Middle East and North Africa,Azerbaijan,Beverages,1932,47.45
357,Sub-Saharan Africa,Sao Tome and Principe,Snacks,6680,152.58
358,Middle East and North Africa,Libya,Clothes,1228,109.28
359,Europe,Portugal,Beverages,8551,47.45
360,Middle East and North Africa,Lebanon,Office Supplies,8652,651.21
361,Australia and Oceania,Marshall Islands,Meat,3569,421.89
362,Central America and the Caribbean,Barbados,Cosmetics,2369,437.2
363,Sub-Saharan Africa,Sao Tome and Principe,Fruits,6150,9.33
364,Australia and Oceania,Samoa ,Beverages,3042,47.45
365,Australia and Oceania,Tonga,Household,3206,668.27
366,Europe,France,Meat,3835,421.89
367,Europe,Liechtenstein,Snacks,4152,152.58
368,Sub-Saharan Africa,South Africa,Meat,412,421.89
369,Europe,Kosovo,Clothes,901,109.28
370,Australia and Oceania,Palau,Cereal,937,205.7
371,Europe,Sweden,Beverages,7869,47.45
372,Europe,Bosnia and Herzegovina,Office Supplies,6075,651.21
373,Central America and the Caribbean,Antigua and Barbuda ,Snacks,1968,152.58
374,Sub-Saharan Africa,Mauritius ,Cosmetics,8990,437.2
375,Central America and the Caribbean,Costa Rica,Personal Care,2614,81.73
376,Sub-Saharan Africa,Burundi,Beverages,5345,47.45
377,Sub-Saharan Africa,Sudan,Cereal,1719,205.7
378,Europe,Croatia,Baby Food,3305,255.28
379,Asia,Cambodia,Cereal,3699,205.7
380,Europe,Liechtenstein,Fruits,3533,9.33
381,Sub-Saharan Africa,Lesotho,Beverages,5467,47.45
382,Sub-Saharan Africa,Sierra Leone,Household,9194,668.27
383,Middle East and North Africa,Somalia,Clothes,6437,109.28
384,Sub-Saharan Africa,Sudan,Personal Care,5952,81.73
385,Sub-Saharan Africa,Botswana,Office Supplies,8524,651.21
386,Sub-Saharan Africa,South Africa,Office Supplies,1971,651.21
387,Central America and the Caribbean,Saint Kitts and Nevis ,Household,6141,668.27
388,Europe,United Kingdom,Cosmetics,7914,437.2
389,Australia and Oceania,Marshall Islands,Snacks,6202,152.58
390,Sub-Saharan Africa,Eritrea,Personal Care,6947,81.73
391,Central America and the Caribbean,Panama,Cereal,8122,205.7
392,Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,4733,437.2
393,Asia,Brunei,Vegetables,3815,154.06
394,Sub-Saharan Africa,Sudan,Fruits,9436,9.33
395,Central America and the Caribbean,Jamaica,Fruits,7694,9.33
396,Sub-Saharan Africa,Togo,Snacks,1720,152.58
397,Europe,Andorra,Fruits,6674,9.33
398,Sub-Saharan Africa,Central African Republic,Clothes,4749,109.28
399,Asia,Cambodia,Office Supplies,169,651.21
400,Europe,Poland,Office Supplies,4188,651.21
401,Middle East and North Africa,Afghanistan,Household,92,668.27
402,Central America and the Caribbean,El Salvador,Cosmetics,8200,437.2
403,Middle East and North Africa,Oman,Household,858,668.27
404,Sub-Saharan Africa,Madagascar,Cereal,7449,205.7
405,Asia,India,Beverages,9382,47.45
406,Australia and Oceania,Tonga,Snacks,5100,152.58
407,Central America and the Caribbean,Panama,Office Supplies,5076,651.21
408,Europe,Denmark,Cereal,6816,205.7
409,Europe,Denmark,Cosmetics,9856,437.2
410,Middle East and North Africa,Yemen,Baby Food,762,255.28
411,Sub-Saharan Africa,Botswana,Clothes,8134,109.28
412,Europe,Portugal,Personal Care,7602,81.73
413,Europe,Poland,Personal Care,6826,81.73
414,Sub-Saharan Africa,Sao Tome and Principe,Clothes,499,109.28
415,Sub-Saharan Africa,Equatorial Guinea,Beverages,5345,47.45
416,Central America and the Caribbean,Grenada,Beverages,5118,47.45
417,Sub-Saharan Africa,Mauritania,Meat,5605,421.89
418,Asia,Uzbekistan,Office Supplies,9624,651.21
419,Middle East and North Africa,Saudi Arabia,Cereal,2021,205.7
420,Middle East and North Africa,Afghanistan,Fruits,4679,9.33
421,Sub-Saharan Africa,Mali,Cereal,1507,205.7
422,North America,Mexico,Cosmetics,3448,437.2
423,Central America and the Caribbean,Costa Rica,Personal Care,3475,81.73
424,Europe,Switzerland,Household,1595,668.27
425,Sub-Saharan Africa,Nigeria,Meat,9842,421.89
426,Europe,Romania,Cosmetics,7284,437.2
427,Middle East and North Africa,Azerbaijan,Meat,5020,421.89
428,Asia,Nepal,Personal Care,1179,81.73
429,Europe,Czech Republic,Cereal,5923,205.7
430,Europe,Croatia,Clothes,6445,109.28
431,Europe,Latvia,Cosmetics,1967,437.2
432,Europe,Bulgaria,Cosmetics,8745,437.2
433,Sub-Saharan Africa,Botswana,Beverages,5064,47.45
434,Europe,Spain,Cereal,6243,205.7
435,Sub-Saharan Africa,Cape Verde,Snacks,9629,152.58
436,Central America and the Caribbean,The Bahamas,Meat,9604,421.89
437,Europe,Albania,Vegetables,2577,154.06
438,Europe,Macedonia,Vegetables,1991,154.06
439,Europe,Poland,Personal Care,3320,81.73
440,Middle East and North Africa,Tunisia ,Baby Food,9068,255.28
441,North America,United States of America,Office Supplies,3773,651.21
442,Europe,Serbia,Snacks,9001,152.58
443,Asia,Myanmar,Household,8350,668.27
444,Sub-Saharan Africa,Liberia,Clothes,2452,109.28
445,Sub-Saharan Africa,Tanzania,Personal Care,3966,81.73
446,Asia,Philippines,Household,2586,668.27
447,Asia,Bangladesh,Vegetables,34,154.06
448,Central America and the Caribbean,Dominica,Cereal,5066,205.7
449,Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,8468,47.45
450,Sub-Saharan Africa,Botswana,Cosmetics,8058,437.2
451,Central America and the Caribbean,El Salvador,Snacks,3683,152.58
452,Asia,Japan,Cereal,2224,205.7
453,Europe,Monaco,Personal Care,2592,81.73
454,Central America and the Caribbean,Guatemala,Meat,729,421.89
455,Europe,Armenia,Vegetables,4609,154.06
456,Central America and the Caribbean,The Bahamas,Baby Food,9238,255.28
457,Europe,Montenegro,Baby Food,1650,255.28
458,Europe,Croatia,Beverages,5913,47.45
459,Europe,Portugal,Cereal,8126,205.7
460,Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,1420,437.2
461,Middle East and North Africa,Afghanistan,Cosmetics,954,437.2
462,Middle East and North Africa,Kuwait,Personal Care,8922,81.73
463,North America,United States of America,Vegetables,9546,154.06
464,Europe,Malta,Household,4083,668.27
465,Australia and Oceania,New Zealand,Office Supplies,5817,651.21
466,Sub-Saharan Africa,Angola,Clothes,5067,109.28
467,Australia and Oceania,Kiribati,Fruits,4182,9.33
468,Central America and the Caribbean,Dominica,Clothes,2539,109.28
469,Europe,Armenia,Baby Food,1553,255.28
470,Asia,Taiwan,Personal Care,9663,81.73
471,Asia,Kazakhstan,Baby Food,7345,255.28
472,Europe,Monaco,Clothes,2102,109.28
473,Europe,Vatican City,Cereal,3472,205.7
474,Australia and Oceania,Palau,Office Supplies,8021,651.21
475,Europe,Albania,Beverages,4348,47.45
476,Europe,Ireland,Clothes,8083,109.28
477,Asia,Nepal,Snacks,6887,152.58
478,Central America and the Caribbean,Haiti,Office Supplies,5453,651.21
479,Asia,India,Cereal,504,205.7
480,Sub-Saharan Africa,Niger,Baby Food,5795,255.28
481,Europe,Kosovo,Personal Care,7112,81.73
482,Europe,Romania,Clothes,7273,109.28
483,Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,1126,47.45
484,Middle East and North Africa,Kuwait,Household,550,668.27
485,Sub-Saharan Africa,Mozambique,Meat,9458,421.89
486,Australia and Oceania,Kiribati,Household,8792,668.27
487,Sub-Saharan Africa,Gabon,Office Supplies,1525,651.21
488,Sub-Saharan Africa,South Africa,Cosmetics,7662,437.2
489,Sub-Saharan Africa,Malawi,Clothes,9239,109.28
490,Europe,Moldova ,Office Supplies,5324,651.21
491,North America,Canada,Baby Food,7015,255.28
492,Europe,Andorra,Meat,2442,421.89
493,Sub-Saharan Africa,Djibouti,Personal Care,1766,81.73
494,Europe,Finland,Cosmetics,2180,437.2
495,Europe,Poland,Clothes,2907,109.28
496,Sub-Saharan Africa,Mali,Baby Food,202,255.28
